iter	Passed	Remaining
0	138	27559
1	141	13965
2	143	9431
3	144	7089
4	146	5732
5	148	4810
6	151	4175
7	154	3697
8	156	3324
9	159	3023
10	160	2749
11	161	2531
12	164	2362
13	166	2218
14	168	2076
15	170	1965
16	171	1850
17	174	1762
18	177	1686
19	179	1619
20	182	1558
21	185	1501
22	187	1443
23	190	1396
24	193	1352
25	196	1313
26	199	1276
27	201	1240
28	204	1207
29	207	1176
30	210	1148
31	212	1113
32	214	1087
33	216	1054
34	218	1030
35	221	1008
36	224	988
37	225	963
38	228	943
39	230	921
40	233	904
41	235	885
42	238	869
43	239	849
44	240	828
45	243	814
46	246	801
47	249	788
48	251	776
49	254	764
50	257	753
51	260	741
52	263	730
53	266	719
54	269	709
55	272	699
56	275	690
57	277	680
58	280	670
59	283	662
60	286	653
61	289	644
62	292	636
63	295	627
64	298	619
65	301	611
66	304	604
67	307	596
68	309	588
69	313	581
70	316	574
71	319	567
72	322	560
73	324	553
74	328	546
75	330	539
76	333	533
77	336	526
78	339	519
79	342	513
80	345	507
81	348	501
82	351	495
83	354	489
84	357	483
85	360	477
86	363	471
87	366	466
88	369	460
89	372	454
90	375	449
91	378	443
92	380	438
93	382	430
94	384	425
95	388	420
96	391	415
97	394	410
98	396	404
99	399	399
100	402	394
101	405	389
102	408	384
103	411	379
104	414	374
105	417	369
106	420	365
107	422	360
108	425	355
109	428	350
110	431	346
111	434	341
112	437	337
113	440	332
114	443	328
115	446	323
116	449	319
117	452	314
118	455	310
119	458	305
120	461	301
121	464	297
122	467	292
123	470	288
124	473	283
125	476	279
126	479	275
127	482	271
128	484	266
129	487	262
130	490	258
131	494	254
132	496	250
133	500	246
134	503	242
135	506	238
136	509	234
137	512	230
138	515	226
139	518	222
140	521	218
141	524	214
142	527	210
143	530	206
144	533	202
145	536	198
146	539	194
147	542	190
148	545	186
149	548	182
150	551	178
151	554	175
152	557	171
153	560	167
154	563	163
155	566	159
156	569	155
157	572	152
158	575	148
159	578	144
160	581	140
161	585	137
162	588	133
163	591	129
164	594	126
165	597	122
166	600	118
167	603	114
168	606	111
169	609	107
170	612	103
171	615	100
172	618	96
173	621	92
174	624	89
175	627	85
176	630	81
177	633	78
178	636	74
179	639	71
180	642	67
181	645	63
182	648	60
183	651	56
184	655	53
185	657	49
186	661	45
187	664	42
188	667	38
189	670	35
190	673	31
191	676	28
192	679	24
193	682	21
194	685	17
195	688	14
196	691	10
197	694	7
198	697	3
199	700	0
